sitio,pH,MO,C
Plaza La Africana,7.6,4.97,2.882830626450116
Plaza Libertad,7.5,1.43,0.8294663573085846
Plaza M. C. Arredondo,7.8,1.3,0.7540603248259861
Plaza La Unión,7.9,1.56,0.9048723897911833
Plaza Ina Ina,7.3,2.56,1.4849187935034804
Plaza Nuestro Parque,7.5,1.13,0.6554524361948956
Plaza Sonrisas de Niño,8,1.55,0.8990719257540604
Mi Parque Fénix,8,2.05,1.1890951276102086
Plaza El Encuentro,8,2.62,1.519721577726218
Plaza Villa Esperanza,7.8,1.43,0.8294663573085846
Plaza Estrellita Fuste,7.5,3.84,2.2273781902552203
Plaza Los 90,7.7,1.89,1.0962877030162412
Plaza Nueva Vida,7.6,3.52,2.0417633410672855
Parque Las Alamedas,7.7,1.56,0.9048723897911833
Plaza Unión San Pedro,7.4,3.9,2.262180974477958
Plaza Renacer 1,7,5.46,3.1670533642691416
Plaza Los Eucaliptus,7.7,1.34,0.777262180974478
Plaza Violeta Parra,7.3,5.04,2.923433874709977
Plaza Massu el cartero,7.6,3.87,2.2447795823665895
Plaza Renacer 2,7.4,4.28,2.4825986078886313
Plaza Finlandia,8,0.64,0.3712296983758701
Plaza Mi Barrio,7.7,1.15,0.6670533642691415
Plaza Primavera,7.6,3.24,1.8793503480278424
Plaza Alfonso Ortega,7.7,1.85,1.0730858468677495
Plaza José María Caro,7.6,2.19,1.2703016241299303
Plaza San Rafael,7.4,4.48,2.598607888631091
Plaza Peynantun,7.8,2.43,1.4095127610208817
Parque Confraternidad,7.8,1.54,0.8932714617169374
Parque de Santa Marta,8.1,1.19,0.6902552204176334
Plaza el Alarife,8,1.27,0.7366589327146172
Plaza La Esperanza,8.1,1.63,0.9454756380510441
Plaza Monseñor Fresno,7.8,2.36,1.368909512761021
Plaza San Matías,7.9,1.98,1.148491879350348
Plaza Sandro Escalona,7.5,1.12,0.6496519721577727
Parque H. Familiares,7.9,2.63,1.525522041763341
Plaza Delfín Oyanedel,8,1.26,0.7308584686774943
Plaza Rinconcito Verde,7.8,2.22,1.2877030162412995
